20 27 34.6;-00 50 03;  0;     119
20 33 35.1;-01 19 42;  0;     120
20 36 34.6;-00 49 32;  0;     121
20 25 33.1;+00 50 50;  0;     122
20 27 32.8;+01 09 57;  0;     123
20 32 34.1;-00 12 45;  0;     124
20 31 32.6;+01 20 11;  0;     125
19 49 21.8;+11 27 36;  0;     126
19 11 14.6;+16 50 02;  0;     127
19 30 13.5;+18 15 20;  0;     128
19 30 13.4;+18 16 20;  0;     129
19 27 10.3;+20 47 08;  0;     130
19 48 14.0;+18 22 32;  0;     131
20 25 20.2;+14 09 50;  0;     132
19 25 07.7;+22 45 59;  0;     133
19 26 07.7;+22 46 04;  0;     134
19 43 07.9;+23 17 12;  0;     135
19 46 06.3;+24 42 23;  0;     136
19 46 05.7;+25 10 23;  0;     137
19 46 05.7;+25 11 23;  0;     138
19 46 05.5;+25 20 23;  0;     139
21 42 29.7;+06 13 44;  0;     140
20 27 14.3;+19 59 57;  0;     141
22 28 24.0;+20 35 21;  0;     142
20 41 17.1;+18 10 45;  0;     143
19 49 03.8;+26 48 35;  0;     144
19 46 01.6;+28 17 23;  0;     145
19 55 03.6;+27 16 58;  0;     146
19 36 59.2;+29 36 48;  0;     147
19 27 55.9;+31 26 11;  0;     148
19 55 00.9;+29 17 58;  0;     149
19 28 54.1;+32 41 15;  0;     150
19 55 59.9;+30 08 02;  0;     151
21 37 25.0;+12 43 31;  0;     152
20 05 01.9;+29 10 36;  0;     153
19 58 58.5;+31 18 13;  0;     154
20 03 57.7;+32 12 32;  0;     155
19 56 55.6;+33 13 06;  0;     156
21 50 25.4;+13 14 03;  0;     157
19 59 55.9;+33 12 17; 47;     158
20 01 56.2;+33 08 25; 47;     159
20 00 55.6;+33 28 21; 47;     160
20 01 55.7;+33 28 25; 47;     161
20 06 56.0;+33 38 44; 47;     162
20 09 56.7;+33 18 55; 47;     163
20 03 54.9;+34 08 32; 47;     164
19 43 49.1;+36 37 15;  0;     165
20 06 55.2;+34 08 43; 47;     166
20 55 09.5;+26 41 30;  0;     167
19 59 52.8;+35 18 17; 47;     168
20 33 02.7;+30 40 17;  0;     169
20 05 54.4;+34 38 40; 47;     170
20 00 52.7;+35 28 21; 47;     171
20 09 55.3;+34 18 55; 47;     172
19 45 48.2;+37 17 23;  0;     173
20 03 53.5;+35 08 32; 47;     174
20 13 56.5;+33 49 09; 47;     175
19 43 47.5;+37 37 15;  0;     176
20 04 53.5;+35 10 36; 47;     177
19 58 51.4;+36 08 13; 47;     178
20 07 53.5;+35 23 47; 47;     179
20 03 51.7;+36 18 32; 47;     180
20 13 54.8;+34 59 09; 47;     181
20 09 53.1;+35 48 55; 47;     182
20 02 50.5;+36 58 28; 47;     183
19 51 47.2;+38 17 46;  0;     184
20 23 56.9;+34 19 45;  0;     185
19 50 46.4;+38 42 42;  0;     186
20 07 51.4;+36 48 47; 47;     187
22 58 33.8;+00 06 05;  0;     188
20 07 50.8;+37 08 47; 47;     189
20 03 49.1;+37 58 32; 47;     190
20 52 04.2;+31 11 20;  0;     191
20 05 49.0;+38 08 40; 47;     192
20 09 50.0;+37 48 54; 47;     193
20 04 48.4;+38 28 36; 47;     194
20 17 52.5;+36 49 24; 47;     195
19 52 44.4;+39 57 50; 47;     196
20 05 48.5;+38 28 40; 47;     197
20 28 55.6;+35 40 03; 47;     198
20 00 46.2;+39 28 21; 47;     199
19 53 44.0;+40 17 54; 47;     200
19 49 42.6;+40 47 38; 47;     201
19 55 44.5;+40 08 02; 47;     202
20 12 49.6;+38 19 05; 47;     203
19 42 40.0;+41 47 11; 47;     204
20 06 47.5;+39 08 43; 47;     205
20 15 50.3;+38 09 16; 47;     206
19 58 44.6;+40 18 13; 47;     207
20 09 48.2;+38 58 54; 47;     208
20 17 50.8;+37 59 24; 47;     209
20 27 54.0;+36 39 59; 47;     210
20 24 52.9;+37 09 49; 47;     211
20 19 51.0;+37 59 31; 47;     212
20 03 45.5;+40 08 32; 47;     213
20 07 46.7;+39 43 47; 47;     214
20 15 49.2;+38 49 16; 47;     215
20 06 46.1;+39 58 43; 47;     216
20 04 45.3;+40 18 36; 47;     217
20 30 54.1;+36 55 10; 47;     218
20 29 53.7;+37 05 06; 47;     219
21 47 18.7;+22 23 56;  0;     220
19 49 39.5;+42 27 38; 47;     221
20 07 45.4;+40 28 47; 47;     222
20 12 46.9;+39 59 05; 47;     223
20 24 50.9;+38 29 49; 47;     224
19 31 33.1;+44 36 27;  0;     225
20 31 53.1;+37 40 13; 47;     226
20 06 44.1;+41 08 43; 47;     227
19 53 39.7;+42 37 54; 47;     228
20 36 54.5;+37 10 31; 47;     229
20 49 59.0;+35 11 14;  0;     230
20 42 56.5;+36 20 51; 47;     231
20 01 42.0;+41 58 24; 47;     232
20 08 44.1;+41 18 51; 47;     233
20 21 48.7;+39 39 38; 47;     234
20 42 56.1;+36 40 51; 47;     235
20 15 46.2;+40 39 16; 47;     236
19 58 40.2;+42 43 13; 47;     237
20 04 41.8;+42 18 36; 47;     238
20 13 44.8;+41 19 09; 47;     239
20 19 46.8;+40 39 31; 47;     240
20 19 46.8;+40 39 31; 47;     241
20 02 40.6;+42 48 28; 47;     242
20 10 43.2;+41 58 58; 47;     243
20 01 39.8;+43 08 24; 47;     244
20 27 49.0;+39 59 59; 47;     245
20 50 57.4;+36 31 17; 47;     246
20 41 53.8;+38 10 47; 47;     247
20 20 46.1;+41 09 34; 47;     248
20 25 47.9;+40 29 52; 47;     249
20 54 58.4;+36 11 30; 43;     250
20 16 44.3;+41 49 20; 47;     251
20 05 40.4;+43 08 39; 47;     252
20 25 47.1;+40 59 52; 47;     253
21 19 06.6;+32 12 42;  0;     254
20 51 56.7;+37 11 20; 47;     255
20 59 59.6;+35 51 46; 43;     256
20 29 48.2;+40 40 06; 47;     257
20 32 49.3;+40 15 17; 47;     258
20 18 44.0;+42 09 27; 47;     259
20 03 38.5;+43 58 32; 47;     260
20 26 46.8;+41 14 56; 47;     261
20 03 38.2;+44 08 32; 47;     262
20 44 53.3;+38 50 57; 47;     263
20 07 39.4;+43 48 47; 47;     264
20 42 52.5;+39 10 51; 47;     265
20 59 58.9;+36 26 45; 43;     266
20 29 47.4;+41 10 06; 47;     267
20 24 45.5;+41 51 49; 47;     268
21 01 59.5;+36 11 52; 43;     269
20 23 44.8;+42 09 45; 47;     270
20 35 49.1;+40 40 27; 47;     271
20 02 36.7;+44 48 28; 47;     272
20 25 45.1;+42 09 52; 47;     273
20 24 44.7;+42 18 49; 47;     274
20 36 49.3;+40 40 30; 47;     275
20 35 48.9;+40 50 27; 47;     276
20 42 51.5;+39 50 51; 47;     277
20 18 42.3;+43 09 27; 47;     278
20 26 45.3;+42 09 56; 47;     279
20 25 44.7;+42 22 52; 47;     280
20 25 44.6;+42 28 52; 47;     281
21 39 11.9;+29 33 36; 58;     282
20 54 55.8;+38 11 30; 45;     283
21 00 58.1;+37 11 49;  0;     284
20 33 47.5;+41 30 20; 47;     285
20 32 47.0;+41 40 17; 47;     286
21 38 11.3;+30 03 34; 58;     287
20 31 46.3;+42 00 13; 47;     288
20 51 54.1;+39 01 20; 46;     289
21 00 57.6;+37 31 49;  0;     290
20 57 56.4;+38 06 39; 45;     291
20 24 43.2;+43 09 49; 47;     292
20 29 44.9;+42 40 06; 47;     293
20 03 34.8;+45 48 32; 47;     294
20 53 54.3;+39 09 26; 46;     295
21 02 57.7;+37 41 55; 44;     296
20 01 33.8;+46 08 24; 47;     297
20 19 40.3;+44 19 31; 47;     298
21 03 57.7;+37 51 58; 44;     299
20 22 41.4;+43 59 41; 47;     300
20 17 39.3;+44 39 23; 47;     301
20 44 50.1;+41 00 57; 47;     302
20 19 40.0;+44 29 31; 47;     303
20 59 55.9;+38 41 45; 45;     304
20 27 43.1;+43 29 59; 47;     305
21 44 12.3;+29 53 49; 58;     306
21 08 59.3;+37 12 13; 43;     307
20 46 50.4;+41 01 04; 47;     308
20 31 44.4;+43 10 13; 47;     309
20 16 38.2;+45 09 20; 47;     310
20 47 50.6;+41 01 07; 47;     311
20 38 46.9;+42 20 37; 47;     312
20 11 36.1;+45 49 01; 47;     313
20 20 39.2;+44 59 34; 47;     314
20 30 42.4;+44 10 10; 47;     315
21 09 58.2;+38 12 16; 43;     316
20 31 42.6;+44 10 13; 47;     317
21 00 54.5;+39 51 48; 45;     318
20 52 51.2;+41 11 23;  0;     319
20 47 48.7;+42 11 07; 47;     320
21 11 58.6;+38 12 22; 43;     321
20 42 46.5;+43 00 50; 47;     322
20 42 46.4;+43 05 50; 47;     323
20 43 46.7;+43 00 54; 47;     324
20 18 36.2;+46 19 27; 47;     325
20 19 36.1;+46 29 30; 47;     326
20 51 49.4;+42 11 20; 47;     327
20 50 48.7;+42 31 17; 47;     328
20 48 47.6;+43 01 10; 47;     329
20 34 41.6;+45 00 23; 47;     330
20 13 32.6;+47 39 09; 47;     331
20 54 49.5;+42 31 30; 47;     332
21 21 00.3;+38 02 48; 42;     333
20 47 46.3;+43 41 07; 47;     334
20 22 35.6;+46 59 41; 47;     335
20 21 35.1;+47 09 38; 47;     336
20 33 40.2;+45 40 20; 47;     337
20 47 46.0;+43 51 07; 47;     338
20 37 41.6;+45 20 34; 47;     339
21 10 55.6;+40 17 19;  0;     340
20 46 45.3;+44 11 04; 47;     341
20 54 48.7;+43 01 30; 47;     342
20 50 46.9;+43 41 17; 47;     343
20 24 35.6;+47 09 48; 47;     344
20 21 34.0;+47 39 38; 47;     345
21 23 00.2;+38 22 53; 42;     346
21 20 59.4;+38 47 48; 42;     347
20 55 48.6;+43 11 33; 47;     348
20 55 48.6;+43 11 33; 47;     349
20 50 46.0;+44 11 17; 47;     350
20 36 39.8;+46 10 30; 47;     351
20 29 36.5;+47 10 06; 47;     352
20 50 45.8;+44 21 17; 47;     353
20 57 48.7;+43 21 39; 47;     354
21 35 04.4;+36 33 26; 41;     355
20 59 49.4;+43 11 45; 47;     356
20 34 38.2;+46 50 23; 47;     357
20 34 38.2;+46 50 23; 47;     358
20 52 46.1;+44 21 23; 47;     359
21 15 56.2;+40 32 33;  0;     360
20 41 41.1;+46 00 47; 47;     361
20 33 37.3;+47 10 20; 47;     362
21 03 50.1;+43 11 58; 47;     363
20 24 32.5;+48 39 48; 47;     364
21 05 50.5;+43 12 04; 47;     365
21 33 02.2;+38 13 20; 41;     366
20 35 36.7;+47 40 27; 47;     367
20 35 36.7;+47 40 27; 47;     368
21 08 51.6;+42 52 13; 47;     369
20 22 30.6;+49 19 41; 47;     370
20 54 45.1;+45 11 29; 47;     371
20 35 36.4;+47 50 27; 47;     372
21 01 48.2;+44 11 51; 47;     373
21 36 03.0;+38 03 28; 41;     374
20 37 36.8;+47 50 33; 47;     375
20 36 36.2;+48 00 30; 47;     376
20 24 30.6;+49 29 48; 47;     377
20 56 45.3;+45 21 36; 47;     378
20 29 32.7;+49 00 06; 47;     379
20 36 35.9;+48 10 30; 47;     380
20 34 34.5;+48 40 23; 47;     381
20 31 32.8;+49 10 13; 47;     382
21 13 52.1;+43 12 27; 36;     383
20 58 45.1;+45 41 42; 47;     384
21 02 46.8;+45 11 54; 47;     385
20 31 32.1;+49 30 13; 47;     386
20 59 45.0;+45 51 45; 47;     387
20 51 41.0;+47 11 20; 47;     388
21 14 51.6;+43 42 30; 36;     389
21 14 51.4;+43 52 30; 36;     390
21 16 52.0;+43 42 36; 36;     391
21 08 48.0;+45 12 13; 47;     392
21 15 51.3;+44 02 33; 36;     393
20 55 41.5;+47 23 32; 47;     394
21 38 01.1;+40 03 33;  0;     395
21 38 01.0;+40 08 33;  0;     396
21 39 01.3;+40 01 36;  0;     397
21 39 01.3;+40 03 36;  0;     398
21 38 00.7;+40 21 33;  0;     399
21 20 52.9;+43 42 47; 36;     400
21 22 53.8;+43 22 53; 36;     401
21 19 51.9;+44 12 45; 36;     402
20 57 40.3;+48 14 39;  0;     403
21 23 52.1;+44 42 56; 36;     404
21 41 59.4;+42 13 43;  0;     405
16 45 42.9;+60 14 39;  0;     406
21 35 55.5;+44 13 28;  0;     407
21 02 37.7;+50 11 54; 39;     408
21 03 38.1;+50 06 57; 39;     409
21 07 40.1;+49 37 09; 40;     410
21 05 39.0;+49 55 03; 40;     411
21 03 37.9;+50 14 57; 39;     412
16 50 39.8;+60 45 00;  0;     413
21 41 56.6;+44 25 43;  0;     414
16 45 37.4;+61 24 39;  0;     415
21 29 48.9;+47 43 12; 37;     416
21 25 46.6;+48 33 01; 37;     417
22 57 25.5;+24 16 04;  0;     418
23 12 28.9;+19 16 20;  0;     419
22 05 04.0;+42 44 37;  0;     420
21 35 46.5;+50 13 28; 38;     421
20 50 18.8;+56 46 16;  0;     422
21 37 46.8;+50 21 33; 38;     423
21 53 55.9;+47 14 12;  0;     424
22 12 05.1;+43 14 51; 52;     425
21 40 47.6;+50 23 41; 38;     426
23 10 27.4;+23 36 18;  0;     427
22 32 13.9;+38 15 28; 55;     428
22 30 12.9;+39 05 24; 55;     429
22 31 13.1;+39 05 26; 55;     430
23 08 26.6;+25 26 16;  0;     431
22 22 08.5;+42 15 10; 52;     432
22 37 15.1;+38 05 36;  0;     433
23 42 32.9;+09 16 39;  0;     434
22 40 16.1;+37 35 40; 56;     435
21 28 36.2;+54 33 09;  0;     436
22 32 12.2;+40 35 28; 52;     437
22 41 16.2;+37 45 42; 56;     438
23 05 25.0;+28 36 13;  0;     439
22 44 17.1;+37 15 46;  0;     440
21 03 14.7;+59 32 57;  0;     441
22 38 13.3;+41 05 37; 52;     442
21 32 34.6;+55 53 20;  0;     443
20 18 42.3;+63 49 29; 10;     444
21 11 18.3;+59 17 21; 24;     445
21 17 22.5;+58 35 38;  0;     446
20 14 38.4;+64 19 14; 10;     447
22 40 13.4;+41 35 40; 52;     448
21 11 17.1;+59 42 21; 24;     449
22 42 13.4;+42 15 43;  0;     450
21 34 31.6;+57 28 25; 14;     451
21 35 32.2;+57 23 27; 14;     452
21 15 17.0;+60 12 32; 24;     453
22 47 15.0;+41 45 50; 52;     454
21 39 32.9;+57 43 38; 14;     455
21 39 31.5;+58 18 38; 14;     456
21 44 34.0;+58 03 50; 14;     457
22 54 16.8;+41 36 00; 52;     458
20 15 21.4;+67 19 17;  0;     459
22 57 17.7;+41 16 03; 52;     460
22 53 15.6;+43 05 58; 52;     461
22 55 16.4;+42 36 01; 52;     462
22 58 17.8;+41 36 05; 52;     463
19 31 45.8;+69 56 31;  7;     464
19 23 40.4;+70 15 58;  7;     465
23 31 29.1;+28 36 34;  0;     466
23 22 26.3;+33 46 28; 60;     467
20 42 29.7;+67 50 52; 18;     468
19 37 38.3;+70 56 55;  6;     469
23 26 27.4;+32 16 31; 60;     470
22 18 51.2;+56 05 04; 13;     471
21 20 02.4;+64 52 46;  0;     472
22 19 51.8;+55 55 06; 13;     473
22 07 42.5;+58 24 42; 12;     474
20 55 38.8;+67 21 34; 18;     475
21 28 08.2;+64 23 08;  0;     476
23 08 20.2;+41 46 16;  0;     477
23 04 18.3;+43 26 11;  0;     478
22 12 45.6;+57 54 53; 12;     479
23 22 25.8;+35 16 28; 60;     480
19 29 28.7;+71 36 22;  6;     481
22 04 38.4;+59 44 36; 12;     482
20 51 31.9;+68 11 21; 18;     483
23 35 29.6;+29 06 36;  0;     484
22 12 43.5;+58 59 53; 12;     485
22 16 45.6;+58 49 00; 12;     486
21 01 37.0;+68 11 53; 18;     487
22 09 39.6;+60 14 46; 12;     488
22 16 44.9;+59 10 00; 12;     489
22 16 44.7;+59 15 00; 12;     490
22 17 45.2;+59 15 02; 12;     491
22 20 47.6;+58 40 08; 12;     492
22 20 47.4;+58 45 08; 12;     493
22 09 37.3;+61 14 46; 17;     494
21 15 43.0;+68 27 34;  0;     495
22 14 39.3;+61 24 56; 17;     496
21 42 08.8;+66 03 45;  0;     497
21 56 21.6;+64 34 18;  0;     498
23 23 24.1;+41 36 28;  0;     499
22 14 35.3;+63 04 56; 11;     500
22 38 55.9;+58 25 39; 16;     501
22 39 56.6;+58 13 40; 16;     502
23 29 26.1;+40 01 32;  0;     503
21 36 56.7;+68 08 32;  0;     504
22 18 37.3;+63 05 04; 11;     505
22 44 59.2;+57 55 47; 15;     506
23 30 26.1;+40 46 33;  0;     507
22 22 40.3;+62 42 11;  0;     508
22 28 45.7;+61 35 22;  0;     509
22 28 45.6;+61 40 22;  0;     510
22 47 00.0;+58 00 50; 15;     511
22 44 56.5;+59 49 47;  0;     512
22 50 00.1;+58 55 54;  0;     513
22 49 58.8;+59 53 54;  0;     514
21 40 46.2;+70 33 42;  0;     515
22 56 03.4;+58 31 02;  0;     516
23 03 08.1;+57 06 10;  0;     517
22 59 04.5;+58 45 06;  0;     518
22 59 04.5;+58 47 06;  0;     519
22 31 39.5;+65 05 27; 11;     520
22 50 57.3;+61 15 56; 11;     521
22 46 53.7;+62 15 50; 11;     522
22 31 38.6;+65 27 27; 11;     523
22 52 57.0;+62 10 58; 11;     524
00 08 34.6;+21 06 42;  0;     525
22 33 36.4;+66 45 30; 11;     526
22 55 57.9;+62 36 02; 11;     527
22 05 01.2;+70 54 37;  5;     528
22 56 58.7;+62 26 03; 11;     529
00 10 34.8;+20 36 41;  0;     530
22 13 10.2;+70 15 54;  5;     531
22 28 25.7;+69 05 22;  0;     532
23 14 10.6;+59 46 21; 11;     533
23 40 26.9;+48 46 38;  0;     534
22 00 46.3;+72 54 29;  4;     535
23 15 11.1;+59 46 22; 11;     536
23 15 10.9;+59 56 22; 11;     537
22 20 12.1;+71 00 07;  0;     538
22 35 30.7;+69 05 33;  0;     539
23 16 11.1;+60 16 23; 11;     540
22 08 53.1;+72 52 46;  4;     541
23 14 08.9;+61 29 21; 11;     542
23 16 10.3;+61 06 23; 11;     543
23 18 11.8;+60 36 24; 11;     544
21 14 23.7;+77 02 32;  3;     545
22 08 49.9;+73 22 46;  4;     546
23 17 10.2;+61 46 24; 11;     547
23 20 12.3;+61 11 26; 11;     548
23 20 12.3;+61 11 26; 11;     549
20 58 49.1;+78 11 47;  3;     550
23 12 04.1;+64 36 19;  0;     551
20 57 39.6;+78 36 43;  3;     552
21 39 50.0;+76 56 41;  3;     553
23 38 23.6;+56 57 37;  0;     554
20 58 27.7;+79 11 46;  3;     555
00 21 35.9;+19 56 38;  0;     556
23 33 19.4;+60 46 35;  0;     557
22 20 47.9;+75 15 09;  0;     558
23 56 32.2;+49 36 42; 48;     559
23 57 32.5;+49 46 42; 48;     560
23 59 33.2;+48 28 42; 48;     561
23 50 29.3;+54 56 41;  0;     562
23 57 32.4;+50 41 42; 48;     563
00 01 33.9;+48 36 42; 48;     564
23 39 21.9;+61 55 37;  0;     565
23 42 24.0;+60 54 39;  0;     566
22 20 20.7;+78 10 08;  0;     567
23 52 29.3;+60 26 41;  0;     568
21 52 07.9;+80 24 11;  0;     569
